Country,Year,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,Var,Value
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,renewables_ej,0.001782
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,solar_ej,0
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,tes_ej,0.157244901
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,tes_gj_pc,10.89929412
Algeria,1972,DZA,12,Africa,Northern Africa,1,0,0,0,wind_ej,0
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,biogeo_ej,0
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_mtco2,11.61221403
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_pc,0.012978169
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,co2_combust_per_ej,153.1873045
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,coalcons_ej,0.000962964
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcfd,0.172792104
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_bcm,1.78591875
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,gascons_ej,0.064293072
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_bcfd,0.418128022
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_bcm,4.321625
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,gasprod_ej,0.155578494
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_ej,0.0027072
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh,0.752
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,hydro_twh_net,0.74448
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,liqcons_kbd,58.84926027
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_ej,0
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh,0
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,nuclear_twh_net,0
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_ej,0.118441239
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_kbd,58.84926027
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,oilcons_mt,2.739
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_crudecond_kbd,1099.397534
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_kbd,1128.74
Algeria,1973,DZA,12,Africa,Northern Africa,1,0,0,0,oilprod_mt,51.69863224
